Country,Year,GDP,FDI,IU,MCS,PA,EF
Romania,1990,5017.16139,0.138645129,0,0,3056,4.405337395
Romania,1991,4407.152765,0.138645129,0,0,2376,3.803361408
Romania,1992,4057.258351,0.306508326,0,0,1877,3.14309009
Romania,1993,4124.89766,0.356585212,0.003703214,0.00352087,2042,3.041834831
Romania,1994,4293.323332,1.13391484,0.026300162,0.012260979,2133,3.065047945
Romania,1995,4570.185131,1.119418075,0.074952756,0.04024296,2232,3.201276108
Romania,1996,4762.476701,0.712021743,0.221622649,0.075832364,2467,3.019018763
Romania,1997,4544.60623,3.415299195,0.445444676,0.901768476,2430,3.118199278
Romania,1998,4461.584274,4.870960092,2.237649473,2.901461931,2193,2.750476218
Romania,1999,4451.762071,2.895434209,2.697580217,6.150458594,1391,2.562060835
Romania,2000,4567.239677,2.783613172,3.61372,11.40061194,1290,2.448164258
Romania,2001,4873.092814,2.864207602,4.53867,17.64009691,1405,2.919084801
Romania,2002,5246.170437,2.483420201,6.58,23.60165076,1841,2.724156621
Romania,2003,5407.855513,3.18995908,8.9,32.77218532,1174,2.895722488
Romania,2004,6005.916377,8.59368513,15,47.9837041,1137,3.283671196
Romania,2005,6325.221288,6.600671758,21.5,63.31296631,984,3.189982615
Romania,2006,6873.660723,9.020060525,24.66,76.4775578,876,3.179479865
Romania,2007,7480.580786,5.786790162,28.3,98.34059881,886,3.023023509
Romania,2008,8314.232335,6.377380857,32.42,118.8007792,1031,3.39152873
Romania,2009,7921.220019,2.663770506,36.6,122.6405258,1091,2.754523095
Romania,2010,7657.542379,1.890107491,39.93,119.7922166,1418,2.842647041
Romania,2011,8042.90342,1.230493315,40.01,115.8242824,1463,3.052673904
Romania,2012,8234.304602,1.701289842,45.88,113.4223875,1077,2.670050505
Romania,2013,8287.249657,2.031105146,49.7645,114.1701218,1046,2.706890319
Romania,2014,8661.122035,1.937371107,54.0783,114.6238647,1036,2.791031122
Romania,2015,8976.954489,2.427275254,55.7632,116.1454247,1053,2.732347899
Romania,2016,9286.596151,3.374232672,59.504,115.669301,1063,2.899391149
Romania,2017,10106.01761,2.832733738,63.7473,113.7122045,1178,3.311992015
Romania,2018,10778.44835,3.018116041,70.6813,115.4396415,1147,3.466027083
Romania,2019,11252.88562,2.934230897,73.6575,116.1173683,939,3.329297015
Romania,2020,10898.92142,1.433156484,78.4553,116.1812357,864,2.694423412
Romania,2021,11607.4026,4.106996735,83.5904,118.6275646,817,2.843793404
Romania,2022,12131.73625,3.840025912,85.5031,118.1071502,873.3333333,2.737665279
